detail_list,mark
TANGCITY MALL LANTAI 1 Blok A 105 S TOKO EL QUEEN,__label__positive
"Semanggi RT 03 RW 06 , semanggi pasar kliwon surakarta ( solo ) 57117 ( AINUN CELL ) ",__label__positive
Jl.raya muntal (Konter Java cell samping Indomaret muntal),__label__positive
Ruko ITC Cempaka Mas Jalan Letjend Suprapto Kemayoran Jakarta Pusat (Ruko ITC Cempaka Mas blok C no 34),__label__positive
"Jayanata Tunjungan Plaza, Jalan Basuki Rahmat, Kedungdoro, Surabaya City, East Java(TP 4 lantai 4)",__label__positive
konter Donkzer Cell Depan MM.1000 desa labuhan ratu baru way Jepara Lampung timur.,__label__positive
wanea plaza Oto moto,__label__positive
bintaro plaza ( lt.2 toko baju the fashion samping kfc )(lt.2 toko baju the fashion),__label__positive
"breaktalk ramayana plaza dumai jalan sudirman bintan dumai kota, kota dumai",__label__positive
"Plaza jambu dua jl ahmad yani lt 1 blok B No 40-41 ""Smart Cell"" bantar jati,bogor utara bogor 16143",__label__positive
"Klinik Panacea komp. mall balikpapan baru blok AB 2 No. 17-20, 25",__label__positive
Jln. Padat Karya Bengkuring Luar Sempaja Utara            ( Toko Shanty Cell ),__label__positive
Data cell depan mentari cell jajag,__label__positive
jln kh syech Yahya kelurahan muara enim kabupaten muara enim dekat konter jaya Cell kampung 8 depan tukang jahit ,__label__positive
jalan soekarno hatta no.9 (Acau Martabak 89 depan suwandie electronic..),__label__positive
"tgc coffee, plaza graha famili jl. bukit darmo boulevard no.20 pradahkalikendal kec. dukuhpakis kota sby 60216(TGC Coffee)",__label__positive
kp. cibugis rt oo4 rw 006 konter malik cell(cet rumah warna biru pas konter malik cell belakng seblak jeletit jeding ),__label__positive
toko Yusro Cell  warna hijau. ketegan tengah rejoso Pasuruan (toko Yusro Cell warna hijau ada pom mini ),__label__positive
"Story-i apple store duta mall(Dutamall lantai 1, seberang eraphone, sebelah samsung stor)",__label__positive
"moh. thayeb m gobel, mesjid ke 3 kalau dari arah simpang 5. depan toko handphone gorontalonesia. Kios Ola",__label__positive
jln ikan arwana no 18 a (kertosari)(arwana cell ),__label__positive
"CLASIC, ruko latanete plaza (samping Optik Melawai/berhadapan depan BANK BRI) jalan sungai Saddang lama.
Hp/Wa : 0813-5629-9495
(kurir: harap telepon terlebih dahulu, sebelum pengantaran)(bersebelahan optik Melawai/ berhadapan dengan Bank BRI)",__label__positive
Bakso lapangan tembak Senayan mall @alamsutra lt.2(KOTA TANGGERANG - PINANG BANTEN ID 15142),__label__positive
